Date,Open,High,Low,Close,Adj Close,Volume
2010-05-24,101.370003,101.980003,100.529999,100.680000,77.060867,16537800
2010-05-25,98.529999,100.570000,97.750000,100.459999,76.892441,25166200
2010-05-26,100.879997,101.800003,99.519997,99.680000,76.295456,18499900
2010-05-27,101.440002,102.730003,101.070000,102.720001,78.622231,18333200
2010-05-28,102.589996,102.629997,101.040001,101.470001,77.665527,19442500
2010-06-01,100.669998,102.290001,100.230003,100.320000,76.785309,17009600
2010-06-02,100.860001,102.650002,100.410004,102.610001,78.538078,14879500
2010-06-03,102.989998,103.260002,101.839996,102.690002,78.599319,11856600
2010-06-04,100.970001,101.180000,99.000000,99.440002,76.111809,20047200
2010-06-07,99.660004,99.919998,98.199997,98.269997,75.216217,13694600
2010-06-08,98.360001,99.669998,97.699997,99.440002,76.111809,25086600
2010-06-09,99.980003,100.779999,98.800003,99.150002,75.889816,16076800
2010-06-10,100.599998,101.980003,100.599998,101.879997,77.979324,13825600
2010-06-11,101.070000,102.349998,101.019997,102.309998,78.308487,9066300
2010-06-14,102.989998,103.489998,102.040001,102.139999,78.178368,8995700
2010-06-15,102.809998,104.290001,102.099998,104.169998,79.732124,9402100
2010-06-16,103.690002,104.480003,103.519997,104.290001,79.823990,9602400
2010-06-17,104.510002,104.620003,103.379997,104.559998,80.030624,9742800
2010-06-18,104.510002,104.839996,104.230003,104.489998,80.122688,6890700
2010-06-21,105.730003,105.959999,103.959999,104.449997,80.091949,10258800
2010-06-22,104.500000,104.940002,102.839996,102.930000,78.926399,11915600
2010-06-23,103.080002,103.680000,102.269997,102.989998,78.972466,12966900
2010-06-24,102.510002,102.639999,101.300003,101.559998,77.875954,13397700
2010-06-25,101.800003,102.029999,100.830002,101.720001,77.998604,10893500
2010-06-28,101.690002,102.050003,101.040001,101.440002,77.783920,6770700
2010-06-29,100.190002,100.230003,98.129997,98.730003,75.705902,16662900
2010-06-30,98.510002,99.129997,97.589996,97.730003,74.939117,13386200
2010-07-01,97.750000,98.000000,96.260002,97.339996,74.640053,18562200
2010-07-02,97.529999,97.739998,96.169998,96.870003,74.279686,11305700
2010-07-06,97.989998,98.620003,96.610001,97.449997,74.724419,10251400
2010-07-07,97.540001,100.370003,97.500000,100.290001,76.902107,12255100
2010-07-08,100.900002,101.510002,100.400002,101.510002,77.837608,9456500
2010-07-09,101.459999,102.129997,101.279999,102.110001,78.297684,7377600
2010-07-12,101.849998,102.300003,101.550003,102.250000,78.405029,6613100
2010-07-13,103.220001,104.180000,103.169998,103.730003,79.539917,9339100
2010-07-14,103.529999,104.089996,103.120003,103.750000,79.555222,8757900
2010-07-15,103.720001,103.879997,102.489998,103.699997,79.516899,11495700
2010-07-16,103.010002,103.110001,100.830002,101.010002,77.523743,12219700
2010-07-19,101.410004,101.900002,100.760002,101.620003,77.991890,7289500
2010-07-20,100.099998,102.400002,100.040001,102.330002,78.536835,9200800
2010-07-21,102.669998,102.699997,100.720001,101.230003,77.692558,10812500
2010-07-22,102.250000,103.709999,102.220001,103.250000,79.242882,10386600
2010-07-23,103.110001,104.500000,102.919998,104.269997,80.025734,13384300
2010-07-26,104.410004,105.330002,104.209999,105.260002,80.785576,9047000
2010-07-27,105.750000,105.839996,105.000000,105.440002,80.923645,10259500
2010-07-28,105.239998,105.550003,104.690002,105.089996,80.655075,7157900
2010-07-29,105.660004,105.930000,103.919998,104.669998,80.332726,11562800
2010-07-30,103.800003,105.129997,103.540001,104.699997,80.355713,11706000
2010-08-02,106.080002,106.989998,105.879997,106.730003,81.913788,6852300
2010-08-03,106.480003,106.830002,106.059998,106.389999,81.652817,5440100
2010-08-04,106.650002,107.150002,106.379997,106.959999,82.090263,7289900
2010-08-05,106.430000,106.879997,106.230003,106.879997,82.028954,3631700
2010-08-06,105.919998,106.730003,105.309998,106.690002,81.883034,7524700
2010-08-09,107.000000,107.370003,106.639999,107.120003,82.213036,3723500
2010-08-10,106.360001,107.180000,105.669998,106.660004,81.860008,8434400
2010-08-11,105.190002,105.209999,103.910004,104.129997,79.918304,9496200
2010-08-12,102.849998,103.870003,102.779999,103.449997,79.396378,14562800
2010-08-13,103.209999,103.800003,103.099998,103.349998,79.319618,6481600
2010-08-16,102.809998,103.589996,102.379997,103.279999,79.265884,5818900
2010-08-17,103.989998,105.120003,103.669998,104.330002,80.071793,5461600
2010-08-18,104.260002,105.110001,103.680000,104.570000,80.255981,6344900
2010-08-19,104.080002,104.309998,102.550003,103.059998,79.097076,8882600
2010-08-20,102.430000,102.480003,101.470001,102.139999,78.684158,8548600
2010-08-23,102.540001,103.050003,101.699997,101.760002,78.391418,5552400
2010-08-24,100.730003,101.150002,99.910004,100.400002,77.343750,9543400
2010-08-25,99.910004,100.980003,99.370003,100.610001,77.505531,9732500
2010-08-26,100.959999,101.059998,99.669998,99.930000,76.981613,8258800
2010-08-27,100.529999,101.629997,99.400002,101.580002,78.252739,10431400
2010-08-30,101.230003,101.540001,100.160004,100.169998,77.166573,4731200
2010-08-31,99.889999,100.849998,99.519997,100.199997,77.189682,10523400
2010-09-01,101.360001,102.900002,101.330002,102.800003,79.192596,8511100
2010-09-02,102.910004,103.290001,102.620003,103.279999,79.562332,3782600
2010-09-03,104.220001,104.629997,103.290001,104.580002,80.563858,6280300
2010-09-07,104.160004,104.290001,103.410004,103.559998,79.778084,4206700
2010-09-08,103.709999,104.400002,103.680000,103.980003,80.101585,5742100
2010-09-09,104.980003,105.000000,103.970001,104.250000,80.309608,4396500
2010-09-10,104.419998,104.820000,104.150002,104.779999,80.717850,3521600
2010-09-13,105.650002,105.860001,105.059998,105.669998,81.403481,4944900
2010-09-14,105.480003,106.070000,105.169998,105.440002,81.226326,5077800
2010-09-15,105.199997,106.059998,104.980003,105.940002,81.611496,4374300
2010-09-16,105.669998,106.239998,105.400002,106.190002,81.804077,5449000
2010-09-17,106.349998,106.489998,105.650002,106.070000,81.858864,7777800
2010-09-20,106.400002,107.720001,106.199997,107.519997,82.977921,5257500
2010-09-21,107.540001,108.309998,107.169998,107.620003,83.055077,8381800
2010-09-22,107.559998,108.040001,107.080002,107.400002,82.885300,5593500
2010-09-23,106.639999,107.620003,106.410004,106.669998,82.321877,7547400
2010-09-24,107.769997,108.660004,107.669998,108.570000,83.788239,5334900
2010-09-27,108.570000,108.730003,108.080002,108.190002,83.494972,3989800
2010-09-28,108.360001,108.870003,107.300003,108.559998,83.780487,7872700
2010-09-29,108.349998,108.709999,108.000000,108.309998,83.587578,6281000
2010-09-30,108.910004,109.519997,107.470001,107.910004,83.278870,11670500
2010-10-01,108.550003,108.730003,107.839996,108.320000,83.595299,5987600
2010-10-04,108.160004,108.550003,107.070000,107.570000,83.016518,5561600
2010-10-05,108.410004,109.680000,108.269997,109.400002,84.428802,6493200
2010-10-06,109.440002,109.830002,109.269997,109.769997,84.714340,7215600
2010-10-07,110.089996,110.110001,109.010002,109.599998,84.583145,5282200
